State,City,City_URL
AR,Green Forest,https://www.selfstorage.com/self-storage/arkansas/green-forest/
AR,Huntsville,https://www.selfstorage.com/self-storage/arkansas/huntsville/
AR,Clarksville,https://www.selfstorage.com/self-storage/arkansas/clarksville/
CA,Alameda,https://www.selfstorage.com/self-storage/california/alameda/
CA,Aliso Viejo,https://www.selfstorage.com/self-storage/california/aliso-viejo/
CA,Anaheim,https://www.selfstorage.com/self-storage/california/anaheim/
CA,Anderson,https://www.selfstorage.com/self-storage/california/anderson/
CA,Antioch,https://www.selfstorage.com/self-storage/california/antioch/
CA,Apple Valley,https://www.selfstorage.com/self-storage/california/apple-valley/
CA,Arcadia,https://www.selfstorage.com/self-storage/california/arcadia/
CA,Artesia,https://www.selfstorage.com/self-storage/california/artesia/
CA,Atascadero,https://www.selfstorage.com/self-storage/california/atascadero/
CA,Azusa,https://www.selfstorage.com/self-storage/california/azusa/
CA,Bakersfield,https://www.selfstorage.com/self-storage/california/bakersfield/
CA,Baldwin Park,https://www.selfstorage.com/self-storage/california/baldwin-park/
CA,Banning,https://www.selfstorage.com/self-storage/california/banning/
CA,Beaumont,https://www.selfstorage.com/self-storage/california/beaumont/
CA,Bell Gardens,https://www.selfstorage.com/self-storage/california/bell-gardens/
CA,Belmont,https://www.selfstorage.com/self-storage/california/belmont/
CA,Berkeley,https://www.selfstorage.com/self-storage/california/berkeley/
CA,Bloomington,https://www.selfstorage.com/self-storage/california/bloomington/
CA,Brea,https://www.selfstorage.com/self-storage/california/brea/
CA,Buena Park,https://www.selfstorage.com/self-storage/california/buena-park/
CA,Burbank,https://www.selfstorage.com/self-storage/california/burbank/
CA,Burlingame,https://www.selfstorage.com/self-storage/california/burlingame/
CA,Calabasas,https://www.selfstorage.com/self-storage/california/calabasas/
CA,Camarillo,https://www.selfstorage.com/self-storage/california/camarillo/
CA,Campbell,https://www.selfstorage.com/self-storage/california/campbell/
CA,Carlsbad,https://www.selfstorage.com/self-storage/california/carlsbad/
CA,Carmichael,https://www.selfstorage.com/self-storage/california/carmichael/
CA,Carson,https://www.selfstorage.com/self-storage/california/carson/
CA,Castro Valley,https://www.selfstorage.com/self-storage/california/castro-valley/
CA,Cathedral City,https://www.selfstorage.com/self-storage/california/cathedral-city/
CA,Ceres,https://www.selfstorage.com/self-storage/california/ceres/
CA,Chico,https://www.selfstorage.com/self-storage/california/chico/
CA,Chula Vista,https://www.selfstorage.com/self-storage/california/chula-vista/
CA,Citrus Heights,https://www.selfstorage.com/self-storage/california/citrus-heights/
CA,City of Industry,https://www.selfstorage.com/self-storage/california/city-of-industry/
CA,Claremont,https://www.selfstorage.com/self-storage/california/claremont/
CA,Clovis,https://www.selfstorage.com/self-storage/california/clovis/
CA,Colton,https://www.selfstorage.com/self-storage/california/colton/
CA,Compton,https://www.selfstorage.com/self-storage/california/compton/
CA,Concord,https://www.selfstorage.com/self-storage/california/concord/
CA,Corona,https://www.selfstorage.com/self-storage/california/corona/
CA,Costa Mesa,https://www.selfstorage.com/self-storage/california/costa-mesa/
CA,Covina,https://www.selfstorage.com/self-storage/california/covina/
CA,Culver City,https://www.selfstorage.com/self-storage/california/culver-city/
CA,Cupertino,https://www.selfstorage.com/self-storage/california/cupertino/
CA,Cypress,https://www.selfstorage.com/self-storage/california/cypress/
CA,Daly City,https://www.selfstorage.com/self-storage/california/daly-city/
